DateTime,Location,Meter Name,Commodity Name,Demand/Usage
2017-05-21 03:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),93.6
2017-05-21 05:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),92.4
2017-05-21 06:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),93.6
2017-05-21 06:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-21 08:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),94.8
2017-05-21 09:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),93.6
2017-05-21 09:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-21 11:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-21 12:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-21 12:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),96.0
2017-05-21 14:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),102.0
2017-05-21 15:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),97.2
2017-05-21 15:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),96.0
2017-05-21 17:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),118.8
2017-05-21 18:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-21 18:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-21 20:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),100.8
2017-05-21 21:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),100.8
2017-05-21 21:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),98.4
2017-05-21 23:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),102.0
2017-05-22 00:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),99.6
2017-05-22 00:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),96.0
2017-05-22 02:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),93.6
2017-05-22 03:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),93.6
2017-05-22 03:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),93.6
2017-05-22 05:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),92.4
2017-05-22 06:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),99.6
2017-05-22 06:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),152.4
2017-05-22 08:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),356.4
2017-05-22 09:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),430.799997282028
2017-05-22 09:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),423.6
2017-05-22 11:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),418.8
2017-05-22 12:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),426.0
2017-05-22 12:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),435.6
2017-05-22 14:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),433.2
2017-05-22 15:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),426.0
2017-05-22 15:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),422.4
2017-05-22 17:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),427.2
2017-05-22 18:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),417.6
2017-05-22 18:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),135.6
2017-05-22 20:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),116.4
2017-05-22 21:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),118.8
2017-05-22 21:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),114.0
2017-05-22 23:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),110.4
2017-05-23 00:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),109.2
2017-05-23 00:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),108.0
2017-05-23 02:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),104.4
2017-05-23 03:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),99.6
2017-05-23 03:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),99.6
2017-05-23 05:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),100.8
2017-05-23 06:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),105.6
2017-05-23 06:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),130.8
2017-05-23 08:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),370.8
2017-05-23 09:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),460.8
2017-05-23 09:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),471.6
2017-05-23 11:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),465.6
2017-05-23 12:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),481.2
2017-05-23 12:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),507.6
2017-05-23 14:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),520.8
2017-05-23 15:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),508.8
2017-05-23 15:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),504.0
2017-05-23 17:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),499.2
2017-05-23 18:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),504.0
2017-05-23 18:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),325.2
2017-05-23 20:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),306.0
2017-05-23 21:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),181.2
2017-05-23 21:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),151.2
2017-05-23 23:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),145.2
2017-05-24 00:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),147.6
2017-05-24 00:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),144.0
2017-05-24 02:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),141.6
2017-05-24 03:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),135.6
2017-05-24 03:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),133.2
2017-05-24 05:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),105.6
2017-05-24 06:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),114.0
2017-05-24 06:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),187.2
2017-05-24 08:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),394.8
2017-05-24 09:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),458.4
2017-05-24 09:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),459.6
2017-05-24 11:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),460.8
2017-05-24 12:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),476.4
2017-05-24 12:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),494.4
2017-05-24 14:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),493.2
2017-05-24 15:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),482.4
2017-05-24 15:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),476.4
2017-05-24 17:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),476.4
2017-05-24 18:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),465.6
2017-05-24 18:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),171.6
2017-05-24 20:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),157.2
2017-05-24 21:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),154.8
2017-05-24 21:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),151.2
2017-05-24 23:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),148.8
2017-05-25 00:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),145.2
2017-05-25 00:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),120.0
2017-05-25 02:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),111.6
2017-05-25 03:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),108.0
2017-05-25 03:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),105.6
2017-05-25 05:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),108.0
2017-05-25 06:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),109.2
2017-05-25 06:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),159.6
2017-05-25 08:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),351.6
2017-05-25 09:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),331.2
