Date,HOUR,PUN
2017-05-27,17,36.14939
2017-05-27,18,38.63
2017-05-27,19,45.88645
2017-05-27,20,48.4553
2017-05-27,21,47.29823
2017-05-27,22,47.00996
2017-05-27,23,43.08024
2017-05-27,24,39.92036
2017-05-28,1,39.18712
2017-05-28,2,32.11879
2017-05-28,3,30.14088
2017-05-28,4,29.3
2017-05-28,5,29.67
2017-05-28,6,30.1
2017-05-28,7,29.67
2017-05-28,8,28.84
2017-05-28,9,29.98
2017-05-28,10,29.98
2017-05-28,11,29.99
2017-05-28,12,28.09
2017-05-28,13,25.0
2017-05-28,14,18.70988
2017-05-28,15,16.43394
2017-05-28,16,19.19
2017-05-28,17,32.22
2017-05-28,18,36.53
2017-05-28,19,38.95907
2017-05-28,20,46.9983
2017-05-28,21,45.75876
2017-05-28,22,48.93933
2017-05-28,23,45.87095
2017-05-28,24,40.47134
2017-05-29,1,35.86552
2017-05-29,2,32.93189
2017-05-29,3,31.07289
2017-05-29,4,30.45392
2017-05-29,5,30.70715
2017-05-29,6,31.16673
2017-05-29,7,37.94278
2017-05-29,8,44.7315
2017-05-29,9,49.22391
2017-05-29,10,46.48498
2017-05-29,11,41.87977
2017-05-29,12,42.43456
2017-05-29,13,39.99
2017-05-29,14,39.15
2017-05-29,15,39.99
2017-05-29,16,45.43
2017-05-29,17,45.0
2017-05-29,18,44.84827
2017-05-29,19,48.57121
2017-05-29,20,50.70341
2017-05-29,21,50.36333
2017-05-29,22,50.15007
2017-05-29,23,49.51466
2017-05-29,24,46.97626
2017-05-30,1,43.94468
2017-05-30,2,43.13653
2017-05-30,3,37.58985
2017-05-30,4,36.63538
2017-05-30,5,37.59742
2017-05-30,6,39.10335
2017-05-30,7,48.37769
2017-05-30,8,51.25286
2017-05-30,9,54.00139
2017-05-30,10,52.71631
2017-05-30,11,50.34
2017-05-30,12,50.34
2017-05-30,13,48.92
2017-05-30,14,45.94
2017-05-30,15,48.55
2017-05-30,16,49.56
2017-05-30,17,50.08
2017-05-30,18,50.0952
2017-05-30,19,51.87632
2017-05-30,20,52.51267
2017-05-30,21,69.86436
2017-05-30,22,68.95716
2017-05-30,23,53.1559
2017-05-30,24,49.62311
2017-05-31,1,43.59062
2017-05-31,2,40.38982
2017-05-31,3,34.33907
2017-05-31,4,32.0058
2017-05-31,5,33.40765
2017-05-31,6,36.45222
2017-05-31,7,43.02739
2017-05-31,8,50.91235
2017-05-31,9,52.1896
2017-05-31,10,53.671
2017-05-31,11,53.64208
2017-05-31,12,51.88881
2017-05-31,13,48.63
2017-05-31,14,44.5
2017-05-31,15,46.70579
2017-05-31,16,48.92
2017-05-31,17,50.61579
2017-05-31,18,50.09801
2017-05-31,19,52.59993
2017-05-31,20,54.52006
2017-05-31,21,69.49431
2017-05-31,22,64.70461
2017-05-31,23,52.11406
2017-05-31,24,50.59658
2017-06-01,1,47.63735
2017-06-01,2,43.93969
2017-06-01,3,41.6281
2017-06-01,4,39.16062
2017-06-01,5,38.13724
2017-06-01,6,39.76057
2017-06-01,7,45.95879
2017-06-01,8,50.89899
2017-06-01,9,57.25104
2017-06-01,10,54.92711
2017-06-01,11,53.12164
2017-06-01,12,51.93154
2017-06-01,13,48.63
2017-06-01,14,50.42492
2017-06-01,15,54.49025
2017-06-01,16,57.42637
2017-06-01,17,59.35714
2017-06-01,18,51.95387
2017-06-01,19,52.49764
2017-06-01,20,53.84631
2017-06-01,21,56.9528
2017-06-01,22,54.49317
2017-06-01,23,51.44802
2017-06-01,24,48.8775
2017-06-02,1,46.62491
2017-06-02,2,45.00046
2017-06-02,3,39.68188
2017-06-02,4,39.61721
2017-06-02,5,37.73743
2017-06-02,6,39.07563
2017-06-02,7,36.87524
2017-06-02,8,41.61378
2017-06-02,9,42.0791
2017-06-02,10,40.30714
2017-06-02,11,38.67
2017-06-02,12,37.8943
2017-06-02,13,37.55
2017-06-02,14,35.08476
2017-06-02,15,33.62272
2017-06-02,16,36.5
2017-06-02,17,39.26
2017-06-02,18,39.7
2017-06-02,19,44.1691
2017-06-02,20,49.97038
2017-06-02,21,51.10049
2017-06-02,22,51.21491
2017-06-02,23,50.71629
2017-06-02,24,46.2287
2017-06-03,1,44.26769
2017-06-03,2,40.23967
2017-06-03,3,38.88098
2017-06-03,4,38.81913
2017-06-03,5,40.44003
2017-06-03,6,41.76811
2017-06-03,7,44.57588
2017-06-03,8,46.76299
2017-06-03,9,48.09057
2017-06-03,10,45.76088
2017-06-03,11,49.65528
2017-06-03,12,48.01
2017-06-03,13,44.0
2017-06-03,14,43.41
2017-06-03,15,39.74
2017-06-03,16,43.41
2017-06-03,17,45.96
2017-06-03,18,47.16178
2017-06-03,19,51.32886
2017-06-03,20,52.39638
2017-06-03,21,51.40948
2017-06-03,22,53.75019
2017-06-03,23,51.89132
2017-06-03,24,49.47608
2017-06-04,1,38.92255
2017-06-04,2,38.15872
2017-06-04,3,36.26843
2017-06-04,4,34.33923
2017-06-04,5,34.34869
2017-06-04,6,35.94541
2017-06-04,7,32.19971
2017-06-04,8,32.22775
2017-06-04,9,32.24602
2017-06-04,10,33.55427
2017-06-04,11,35.97
2017-06-04,12,35.95
2017-06-04,13,32.99
2017-06-04,14,29.9
2017-06-04,15,28.01
2017-06-04,16,32.99
2017-06-04,17,39.39
2017-06-04,18,39.39
2017-06-04,19,41.79084
2017-06-04,20,46.04598
2017-06-04,21,46.73475
2017-06-04,22,48.98855
2017-06-04,23,47.31493
2017-06-04,24,42.94275
2017-06-05,1,38.71803
2017-06-05,2,35.40386
2017-06-05,3,31.28813
2017-06-05,4,30.78467
2017-06-05,5,30.72866
2017-06-05,6,31.00632
2017-06-05,7,40.09413
2017-06-05,8,48.78931
2017-06-05,9,64.51937
2017-06-05,10,56.73546
2017-06-05,11,53.97671
2017-06-05,12,52.10434
2017-06-05,13,46.35877
2017-06-05,14,46.81562
2017-06-05,15,53.24824
2017-06-05,16,54.31461
2017-06-05,17,54.37748
2017-06-05,18,56.38798
2017-06-05,19,56.6538
2017-06-05,20,64.03965
2017-06-05,21,91.95
2017-06-05,22,94.42
2017-06-05,23,58.41032
2017-06-05,24,50.937
2017-06-06,1,44.42485
2017-06-06,2,42.94968
2017-06-06,3,42.30864
2017-06-06,4,41.93505
2017-06-06,5,41.82564
2017-06-06,6,40.67198
2017-06-06,7,45.98747
2017-06-06,8,55.83271
2017-06-06,9,57.4953
2017-06-06,10,56.20107
2017-06-06,11,54.99439
2017-06-06,12,54.16956
2017-06-06,13,46.34644
2017-06-06,14,45.91887
2017-06-06,15,48.59974
2017-06-06,16,50.76638
2017-06-06,17,51.66793
2017-06-06,18,50.46453
2017-06-06,19,51.43543
2017-06-06,20,56.49263
2017-06-06,21,52.10935
2017-06-06,22,56.65761
2017-06-06,23,49.58353
2017-06-06,24,46.61742
2017-06-07,1,46.1074
2017-06-07,2,41.21495
2017-06-07,3,39.45336
2017-06-07,4,36.01019
2017-06-07,5,35.9478
2017-06-07,6,35.96924
2017-06-07,7,40.99852
2017-06-07,8,48.36935
2017-06-07,9,50.07214
2017-06-07,10,48.1456
2017-06-07,11,43.68362
2017-06-07,12,43.06491
2017-06-07,13,41.81032
2017-06-07,14,41.83634
2017-06-07,15,42.93181
2017-06-07,16,45.59946
2017-06-07,17,47.50598
2017-06-07,18,46.82149
2017-06-07,19,47.55524
2017-06-07,20,51.96655
2017-06-07,21,51.50089
2017-06-07,22,52.34523
2017-06-07,23,49.12629
2017-06-07,24,45.58657
2017-06-08,1,39.48299
2017-06-08,2,38.96176
2017-06-08,3,34.8212
2017-06-08,4,33.46812
2017-06-08,5,31.00275
2017-06-08,6,32.19
2017-06-08,7,36.97857
2017-06-08,8,46.73988
2017-06-08,9,49.66071
2017-06-08,10,49.43313
2017-06-08,11,45.75632
2017-06-08,12,44.10077
2017-06-08,13,39.5333
2017-06-08,14,39.08603
2017-06-08,15,39.63802
2017-06-08,16,43.33788
2017-06-08,17,46.6666
2017-06-08,18,46.66056
2017-06-08,19,48.81046
2017-06-08,20,50.7944
2017-06-08,21,50.89123
2017-06-08,22,52.3387
2017-06-08,23,49.57154
2017-06-08,24,48.6908
2017-06-09,1,43.99968
2017-06-09,2,39.32304
2017-06-09,3,37.24663
2017-06-09,4,36.18105
2017-06-09,5,34.94659
2017-06-09,6,36.5477
2017-06-09,7,41.21962
2017-06-09,8,47.63296
2017-06-09,9,48.72719
2017-06-09,10,48.44161
2017-06-09,11,46.69497
2017-06-09,12,46.35698
2017-06-09,13,45.17649
2017-06-09,14,43.72062
2017-06-09,15,46.36732
2017-06-09,16,46.9748
2017-06-09,17,49.43214
2017-06-09,18,48.75328
2017-06-09,19,52.29024
2017-06-09,20,56.18749
2017-06-09,21,59.13756
2017-06-09,22,54.44889
2017-06-09,23,50.11305
2017-06-09,24,49.49329
2017-06-10,1,45.81068
2017-06-10,2,43.73186
2017-06-10,3,41.69286
2017-06-10,4,37.92138
2017-06-10,5,37.26387
2017-06-10,6,36.71384
2017-06-10,7,37.04042
2017-06-10,8,42.93362
2017-06-10,9,44.92556
2017-06-10,10,44.62671
2017-06-10,11,44.18791
2017-06-10,12,41.84432
2017-06-10,13,37.96
2017-06-10,14,31.15
2017-06-10,15,30.57
2017-06-10,16,37.55
2017-06-10,17,42.1
2017-06-10,18,43.93204
2017-06-10,19,46.45482
2017-06-10,20,49.83742
2017-06-10,21,50.37699
2017-06-10,22,50.64176
2017-06-10,23,49.0762
2017-06-10,24,47.59179
2017-06-11,1,47.71277
2017-06-11,2,46.56255
2017-06-11,3,44.4012
2017-06-11,4,40.04197
2017-06-11,5,39.92485
2017-06-11,6,42.08
2017-06-11,7,40.49
2017-06-11,8,42.1
2017-06-11,9,39.95
2017-06-11,10,38.53
2017-06-11,11,42.72317
