,dummy,T,P,Ff,U,Td,Demand/Usage
2017-05-18 00:00:00,1,18.0,762.8,2.0,52.0,8.0,
2017-05-18 01:00:00,1,19.0,762.8,1.5,47.5,7.5,3376.08
2017-05-18 02:00:00,1,19.0,763.5,3.0,64.0,12.0,3505.68
2017-05-18 03:00:00,1,19.5,762.0,3.0,46.0,7.5,3311.28
2017-05-18 04:00:00,1,20.0,762.0,4.0,43.0,7.0,2125.44
2017-05-18 05:00:00,1,18.5,762.0,2.5,55.5,9.0,738.72
2017-05-18 06:00:00,1,18.5,762.0,1.5,58.0,10.0,1509.84
2017-05-18 07:00:00,1,19.5,762.4,2.5,50.5,9.0,3440.88
2017-05-18 08:00:00,1,22.5,762.8,1.5,39.5,8.0,3589.92
2017-05-18 09:00:00,1,23.5,762.8,2.0,40.0,9.0,3551.04
2017-05-18 10:00:00,1,25.0,762.8,3.0,32.0,7.0,3252.96
2017-05-18 11:00:00,1,25.5,762.8,3.0,29.0,6.0,2721.6
2017-05-18 12:00:00,1,27.0,762.4,4.0,27.0,6.5,2417.04
2017-05-18 13:00:00,1,27.0,762.0,5.0,28.0,7.0,3052.08
2017-05-18 14:00:00,1,26.0,762.0,5.0,29.0,6.5,2941.92
2017-05-18 15:00:00,1,26.0,762.0,3.5,28.0,6.0,2630.88
2017-05-18 16:00:00,1,26.0,762.0,4.0,29.0,6.5,3052.08
2017-05-18 17:00:00,1,25.5,761.2,3.5,31.0,7.0,777.6
2017-05-18 18:00:00,1,24.5,761.2,3.0,34.0,7.5,1483.92
2017-05-18 19:00:00,1,23.0,761.2,2.0,41.0,9.0,2676.24
2017-05-18 20:00:00,1,22.0,761.2,1.5,42.5,8.5,3026.16
2017-05-18 21:00:00,1,20.5,762.0,1.5,46.0,8.5,2248.56
2017-05-18 22:00:00,1,19.5,762.0,1.0,47.5,8.0,2138.4
2017-05-18 23:00:00,1,18.5,762.0,2.5,47.5,7.0,3129.84
2017-05-19 00:00:00,1,18.0,762.0,2.0,44.5,5.5,1535.76
2017-05-19 01:00:00,1,17.5,761.2,2.0,46.0,5.5,2838.24
2017-05-19 02:00:00,1,17.0,761.2,2.5,49.0,6.0,1697.76
2017-05-19 03:00:00,1,17.0,761.2,3.0,49.0,6.0,1237.68
2017-05-19 04:00:00,1,17.0,760.85,3.0,49.0,6.0,952.56
2017-05-19 05:00:00,1,16.5,761.2,2.0,52.0,6.5,699.84
2017-05-19 06:00:00,1,18.5,761.2,3.5,50.5,8.0,680.4
2017-05-19 07:00:00,1,20.5,761.2,3.5,49.5,9.5,712.8
2017-05-19 08:00:00,1,21.5,762.0,3.5,45.5,9.0,699.84
2017-05-19 09:00:00,1,23.0,762.0,5.0,38.0,8.0,673.92
2017-05-19 10:00:00,1,23.0,762.0,5.0,45.5,10.5,725.76
2017-05-19 11:00:00,1,25.0,761.2,5.5,40.5,10.5,693.36
2017-05-19 12:00:00,1,25.5,761.2,6.0,33.0,8.0,641.52
2017-05-19 13:00:00,1,25.5,761.2,6.5,34.0,8.5,673.92
2017-05-19 14:00:00,1,25.5,761.2,5.5,38.0,10.0,660.96
2017-05-19 15:00:00,1,25.0,761.2,5.0,40.5,10.5,635.04
2017-05-19 16:00:00,1,24.5,760.85,5.0,40.0,10.0,498.96
2017-05-19 17:00:00,1,23.0,760.5,4.5,44.0,10.0,466.56
2017-05-19 18:00:00,1,23.0,760.5,5.0,45.5,10.5,498.96
2017-05-19 19:00:00,1,21.5,760.5,6.0,51.5,11.0,460.08
2017-05-19 20:00:00,1,20.5,760.5,5.0,65.0,13.5,492.48
2017-05-19 21:00:00,1,20.0,760.85,4.5,73.5,15.0,479.52
2017-05-19 22:00:00,1,20.0,760.85,4.0,66.5,13.5,473.04
2017-05-19 23:00:00,1,20.0,760.85,6.0,71.0,14.5,434.16
2017-05-20 00:00:00,1,18.0,761.2,2.5,88.0,16.0,401.76
2017-05-20 01:00:00,1,16.0,761.2,3.5,88.0,14.0,369.36
2017-05-20 02:00:00,1,14.5,760.5,4.0,74.5,10.0,375.84
2017-05-20 03:00:00,1,15.0,760.5,2.0,82.0,12.0,324.0
2017-05-20 04:00:00,1,14.5,760.5,2.0,85.0,12.0,311.04
2017-05-20 05:00:00,1,14.5,760.5,1.0,79.5,11.0,168.48
2017-05-20 06:00:00,1,15.0,761.2,1.0,88.0,13.0,116.64
2017-05-20 07:00:00,1,17.0,761.2,2.0,85.5,14.5,103.68
2017-05-20 08:00:00,1,18.0,761.2,2.0,83.0,15.0,97.2
2017-05-20 09:00:00,1,18.5,761.2,4.0,78.0,14.5,97.2
2017-05-20 10:00:00,1,19.5,761.2,4.0,68.5,13.5,97.2
2017-05-20 11:00:00,1,17.0,761.6,4.5,73.0,12.0,97.2
2017-05-20 12:00:00,1,16.0,762.0,2.0,79.5,12.5,97.2
2017-05-20 13:00:00,1,18.5,762.0,3.0,70.5,13.0,97.2
2017-05-20 14:00:00,1,19.5,762.0,2.0,64.0,12.5,97.2
2017-05-20 15:00:00,1,20.0,761.6,5.5,62.0,12.5,97.2
2017-05-20 16:00:00,1,21.0,761.2,6.0,57.0,12.0,90.72
2017-05-20 17:00:00,1,20.0,761.2,6.5,58.0,11.5,97.2
2017-05-20 18:00:00,1,20.0,761.2,4.5,62.0,12.5,97.2
2017-05-20 19:00:00,1,19.0,761.2,3.5,70.5,13.5,97.2
2017-05-20 20:00:00,1,18.0,761.2,2.5,68.0,12.0,97.2
2017-05-20 21:00:00,1,17.0,761.6,1.5,73.0,12.0,103.68
2017-05-20 22:00:00,1,16.0,762.0,2.0,72.0,11.0,110.16
2017-05-20 23:00:00,1,14.5,762.0,1.0,77.0,10.5,103.68
2017-05-21 00:00:00,1,14.0,762.0,1.0,77.0,10.0,110.16
2017-05-21 01:00:00,1,12.5,762.0,1.5,85.0,10.0,103.68
2017-05-21 02:00:00,1,13.0,762.0,3.0,82.0,10.0,103.68
2017-05-21 03:00:00,1,13.5,762.0,2.0,79.5,10.0,110.16
2017-05-21 04:00:00,1,14.0,761.2,2.5,77.0,10.0,103.68
2017-05-21 05:00:00,1,13.0,761.2,3.0,77.0,9.0,103.68
2017-05-21 06:00:00,1,13.0,761.2,3.0,77.0,9.0,103.68
2017-05-21 07:00:00,1,14.0,761.2,3.5,74.5,9.5,103.68
2017-05-21 08:00:00,1,15.5,761.2,5.0,72.0,10.5,97.2
2017-05-21 09:00:00,1,17.5,761.2,6.0,66.0,11.0,97.2
2017-05-21 10:00:00,1,20.5,762.0,7.0,54.5,11.0,97.2
2017-05-21 11:00:00,1,21.5,762.0,7.0,47.0,9.5,97.2
2017-05-21 12:00:00,1,22.5,762.0,6.0,41.0,8.5,97.2
2017-05-21 13:00:00,1,24.0,762.0,7.5,39.0,9.0,97.2
2017-05-21 14:00:00,1,24.0,762.0,8.0,39.0,9.0,90.72
2017-05-21 15:00:00,1,23.5,762.0,8.5,40.0,9.0,97.2
2017-05-21 16:00:00,1,23.0,762.0,7.5,39.5,8.5,97.2
2017-05-21 17:00:00,1,23.5,762.0,6.0,38.5,8.5,97.2
2017-05-21 18:00:00,1,23.0,762.0,6.5,41.0,9.0,97.2
2017-05-21 19:00:00,1,22.5,762.0,5.5,42.5,9.0,136.08
2017-05-21 20:00:00,1,21.0,762.0,3.5,46.0,9.0,194.4
2017-05-21 21:00:00,1,21.0,762.8,1.0,46.0,9.0,259.2
2017-05-21 22:00:00,1,18.0,763.15,1.0,64.0,11.0,900.72
2017-05-21 23:00:00,1,17.5,763.5,2.0,64.0,10.5,1134.0
2017-05-22 00:00:00,1,16.5,763.5,2.0,61.0,9.0,784.08
2017-05-22 01:00:00,1,16.0,763.5,2.0,63.0,9.0,719.28
2017-05-22 02:00:00,1,14.5,763.5,1.5,70.0,9.0,511.92
2017-05-22 03:00:00,1,14.5,763.5,1.0,70.0,9.0,829.44
2017-05-22 04:00:00,1,15.0,762.8,2.5,68.0,9.0,2125.44
2017-05-22 05:00:00,1,13.5,762.8,2.0,74.5,9.0,1827.36
2017-05-22 06:00:00,1,14.5,762.8,2.0,74.5,10.0,1490.4
2017-05-22 07:00:00,1,17.0,763.15,1.5,66.0,10.5,1464.48
2017-05-22 08:00:00,1,19.5,763.5,1.5,58.0,11.0,2896.56
2017-05-22 09:00:00,1,21.5,763.5,1.5,50.0,10.5,2864.16
2017-05-22 10:00:00,1,23.5,763.5,1.5,42.5,10.0,3052.08
2017-05-22 11:00:00,1,24.5,763.5,3.0,38.5,9.5,3071.52
2017-05-22 12:00:00,1,25.5,763.5,3.5,35.0,9.0,3402.0
2017-05-22 13:00:00,1,25.5,763.15,3.5,32.0,7.5,3240.0
2017-05-22 14:00:00,1,25.5,762.8,4.5,35.0,9.0,2961.36
2017-05-22 15:00:00,1,25.5,762.8,4.0,35.0,9.0,3220.56
2017-05-22 16:00:00,1,24.5,762.8,4.0,34.0,7.5,2663.28
2017-05-22 17:00:00,1,24.0,762.8,4.0,40.0,9.5,1458.0
2017-05-22 18:00:00,1,24.0,762.8,3.0,40.0,9.5,1276.56
2017-05-22 19:00:00,1,22.5,762.8,2.5,45.5,10.0,2313.36
2017-05-22 20:00:00,1,20.5,762.8,2.0,53.0,10.5,2514.24
2017-05-22 21:00:00,1,19.0,762.8,1.0,62.0,11.5,2741.04
2017-05-22 22:00:00,1,18.0,763.15,2.0,66.0,11.5,2715.12
2017-05-22 23:00:00,1,18.0,762.8,2.0,58.0,9.5,2708.64
2017-05-23 00:00:00,1,17.0,762.8,2.0,59.0,9.0,2287.44
2017-05-23 01:00:00,1,16.5,762.8,1.0,63.5,9.5,2812.32
2017-05-23 02:00:00,1,15.0,762.8,1.0,70.0,9.5,2864.16
2017-05-23 03:00:00,1,16.0,762.8,2.0,59.0,8.0,2041.2
2017-05-23 04:00:00,1,14.5,762.8,1.5,70.0,9.0,2209.68
2017-05-23 05:00:00,1,13.0,762.8,2.0,79.5,9.5,803.52
2017-05-23 06:00:00,1,15.0,762.8,2.0,72.5,10.0,1704.24
2017-05-23 07:00:00,1,17.0,763.15,1.0,64.0,10.0,2546.64
2017-05-23 08:00:00,1,19.0,763.5,1.5,58.0,10.5,2268.0
2017-05-23 09:00:00,1,21.0,763.5,2.0,55.0,11.5,2838.24
2017-05-23 10:00:00,1,23.5,763.5,2.5,42.5,10.0,3078.0
2017-05-23 11:00:00,1,24.5,763.5,2.0,39.0,9.5,2805.84
2017-05-23 12:00:00,1,25.5,763.5,2.5,39.5,10.5,2928.96
2017-05-23 13:00:00,1,26.0,763.5,3.0,38.0,10.5,3596.4
2017-05-23 14:00:00,1,25.0,763.15,4.0,40.5,10.5,2682.72
2017-05-23 15:00:00,1,25.0,762.8,3.0,42.0,11.0,2624.4
2017-05-23 16:00:00,1,25.0,762.8,4.0,43.0,11.5,2650.32
2017-05-23 17:00:00,1,25.0,762.8,3.0,43.0,11.5,2617.92
2017-05-23 18:00:00,1,23.5,762.8,3.5,50.0,12.5,1425.6
2017-05-23 19:00:00,1,22.0,762.8,3.0,60.5,14.0,2455.92
2017-05-23 20:00:00,1,20.5,763.5,2.0,68.5,14.5,2060.64
2017-05-23 21:00:00,1,19.5,763.5,2.0,73.0,14.5,2183.76
2017-05-23 22:00:00,1,18.0,764.3,1.0,80.5,14.5,2242.08
2017-05-23 23:00:00,1,17.5,764.3,2.0,83.0,14.5,3214.08
2017-05-24 00:00:00,1,16.5,764.3,2.0,83.0,13.5,2857.68
2017-05-24 01:00:00,1,16.0,763.5,2.0,80.0,12.5,2352.24
2017-05-24 02:00:00,1,14.5,763.5,2.0,77.0,10.5,2520.72
2017-05-24 03:00:00,1,14.5,763.5,2.0,74.5,10.0,2993.76
2017-05-24 04:00:00,1,15.0,763.5,2.0,72.0,10.0,2488.32
2017-05-24 05:00:00,1,15.0,763.5,1.5,74.5,10.5,777.6
2017-05-24 06:00:00,1,16.0,763.5,2.0,70.0,10.5,1432.08
2017-05-24 07:00:00,1,18.5,763.5,1.0,62.0,11.0,2637.36
2017-05-24 08:00:00,1,19.5,763.5,2.5,64.0,12.5,3356.64
2017-05-24 09:00:00,1,21.5,763.5,2.0,57.0,12.5,3220.56
2017-05-24 10:00:00,1,23.5,763.5,2.0,47.0,11.5,2468.88
2017-05-24 11:00:00,1,25.0,763.5,1.5,44.0,12.0,2857.68
2017-05-24 12:00:00,1,25.5,763.5,2.5,39.5,10.5,2313.36
2017-05-24 13:00:00,1,26.5,763.15,4.0,48.0,14.5,2442.96
2017-05-24 14:00:00,1,26.5,762.8,4.0,38.0,11.0,2488.32
2017-05-24 15:00:00,1,26.0,762.8,4.0,34.0,9.0,2293.92
2017-05-24 16:00:00,1,24.0,762.8,4.0,45.5,11.5,2080.08
2017-05-24 17:00:00,1,24.0,762.0,3.0,39.0,9.0,738.72
2017-05-24 18:00:00,1,24.5,762.0,3.0,36.5,8.5,1509.84
2017-05-24 19:00:00,1,24.0,762.0,2.5,39.0,9.0,2851.2
2017-05-24 20:00:00,1,21.5,762.0,2.0,42.0,8.0,2222.64
2017-05-24 21:00:00,1,20.0,762.8,2.0,51.5,9.5,2779.92
2017-05-24 22:00:00,1,18.5,762.8,2.0,60.0,10.5,2604.96
2017-05-24 23:00:00,1,17.5,762.8,1.5,58.0,9.0,2352.24
2017-05-25 00:00:00,1,17.0,762.8,2.0,52.0,7.0,2248.56
2017-05-25 01:00:00,1,15.5,762.0,2.0,67.5,9.5,2131.92
2017-05-25 02:00:00,1,15.5,762.0,2.0,80.0,12.0,1328.4
2017-05-25 03:00:00,1,16.0,761.2,2.0,85.5,13.5,1062.72
2017-05-25 04:00:00,1,15.5,760.85,2.0,74.5,11.0,881.28
2017-05-25 05:00:00,1,15.0,760.5,2.0,85.0,12.5,738.72
2017-05-25 06:00:00,1,15.5,760.5,2.0,79.5,12.0,725.76
2017-05-25 07:00:00,1,17.5,760.85,1.0,77.5,13.5,751.68
2017-05-25 08:00:00,1,17.5,762.0,2.5,75.5,13.0,777.6
2017-05-25 09:00:00,1,20.0,761.2,2.0,64.0,13.0,719.28
2017-05-25 10:00:00,1,20.5,761.2,2.5,62.0,13.0,725.76
2017-05-25 11:00:00,1,21.5,761.6,1.5,56.5,12.5,667.44
2017-05-25 12:00:00,1,23.5,761.2,1.5,47.0,11.5,557.28
2017-05-25 13:00:00,1,25.0,761.2,3.0,40.5,10.5,589.68
2017-05-25 14:00:00,1,26.0,760.85,2.0,37.0,10.0,537.84
2017-05-25 15:00:00,1,24.5,760.5,4.5,52.5,14.0,550.8
2017-05-25 16:00:00,1,24.0,760.5,4.0,50.0,13.0,498.96
2017-05-25 17:00:00,1,23.0,760.5,4.0,55.0,13.5,473.04
2017-05-25 18:00:00,1,23.0,760.5,3.0,59.0,14.5,492.48
2017-05-25 19:00:00,1,21.5,760.5,3.0,64.5,14.5,498.96
2017-05-25 20:00:00,1,20.0,760.85,2.5,66.5,13.5,498.96
2017-05-25 21:00:00,1,19.0,761.2,1.5,75.5,14.5,473.04
2017-05-25 22:00:00,1,18.0,761.6,1.5,80.5,14.5,479.52
2017-05-25 23:00:00,1,17.0,762.0,1.5,83.0,14.0,466.56
2017-05-26 00:00:00,1,17.0,762.0,2.0,80.0,13.5,492.48
2017-05-26 01:00:00,1,16.5,762.0,1.5,80.0,13.0,460.08
2017-05-26 02:00:00,1,16.0,762.0,1.5,83.0,13.0,466.56
2017-05-26 03:00:00,1,15.5,762.0,2.0,77.0,11.5,401.76
2017-05-26 04:00:00,1,15.0,762.0,1.5,63.0,8.0,401.76
2017-05-26 05:00:00,1,14.0,762.0,2.0,77.0,10.0,401.76
2017-05-26 06:00:00,1,15.0,762.0,3.0,68.0,9.0,421.2
2017-05-26 07:00:00,1,16.0,762.4,3.5,55.0,7.0,460.08
2017-05-26 08:00:00,1,18.0,762.8,3.5,51.0,7.5,453.6
2017-05-26 09:00:00,1,20.5,762.8,4.0,41.5,7.0,440.64
2017-05-26 10:00:00,1,22.5,762.8,3.0,34.5,6.0,414.72
2017-05-26 11:00:00,1,23.0,762.8,3.0,30.0,4.5,382.32
2017-05-26 12:00:00,1,24.0,762.0,3.0,29.0,5.0,343.44
2017-05-26 13:00:00,1,24.5,762.0,4.5,28.5,5.0,395.28
2017-05-26 14:00:00,1,26.0,761.2,3.0,26.0,5.0,375.84
2017-05-26 15:00:00,1,26.5,761.2,3.0,27.0,6.0,382.32
2017-05-26 16:00:00,1,25.5,760.5,5.0,35.0,9.0,369.36
2017-05-26 17:00:00,1,24.0,761.2,4.5,44.0,11.0,356.4
2017-05-26 18:00:00,1,23.0,761.2,3.5,47.0,11.0,356.4
2017-05-26 19:00:00,1,22.5,761.2,3.0,47.0,10.5,336.96
2017-05-26 20:00:00,1,20.5,761.2,3.0,58.5,12.0,343.44
2017-05-26 21:00:00,1,19.0,761.2,2.5,68.0,13.0,349.92
2017-05-26 22:00:00,1,18.0,762.0,2.0,73.0,13.0,343.44
2017-05-26 23:00:00,1,16.5,762.0,2.5,77.0,12.5,330.48
2017-05-27 00:00:00,1,17.0,762.4,1.5,66.0,10.5,343.44
2017-05-27 01:00:00,1,15.5,762.8,1.5,72.5,10.5,330.48
2017-05-27 02:00:00,1,15.0,762.8,1.0,74.5,10.5,336.96
2017-05-27 03:00:00,1,15.0,762.8,2.0,70.0,9.5,291.6
2017-05-27 04:00:00,1,15.0,762.8,2.5,70.0,9.5,116.64
2017-05-27 05:00:00,1,15.0,763.5,1.0,68.0,9.0,103.68
2017-05-27 06:00:00,1,14.5,763.5,1.5,72.0,9.5,103.68
2017-05-27 07:00:00,1,17.5,763.5,2.5,64.0,10.5,97.2
2017-05-27 08:00:00,1,19.5,763.9,3.0,50.5,9.0,97.2
2017-05-27 09:00:00,1,21.0,764.3,3.0,43.0,8.0,97.2
2017-05-27 10:00:00,1,23.0,764.3,2.0,37.0,7.5,90.72
2017-05-27 11:00:00,1,24.0,764.3,2.0,35.0,7.5,97.2
2017-05-27 12:00:00,1,24.5,764.3,2.5,30.5,6.0,90.72
2017-05-27 13:00:00,1,26.0,763.5,2.5,28.0,6.0,97.2
2017-05-27 14:00:00,1,27.0,763.5,2.5,30.0,8.0,97.2
2017-05-27 15:00:00,1,26.0,763.5,4.5,35.5,9.5,90.72
2017-05-27 16:00:00,1,26.0,762.8,4.0,35.5,9.5,97.2
2017-05-27 17:00:00,1,26.0,762.8,3.5,33.0,8.5,90.72
2017-05-27 18:00:00,1,25.0,762.8,3.5,37.5,9.5,97.2
2017-05-27 19:00:00,1,23.5,762.8,3.0,40.0,9.0,97.2
2017-05-27 20:00:00,1,21.5,762.8,3.0,46.5,9.5,97.2
2017-05-27 21:00:00,1,20.0,763.5,3.0,60.0,12.0,103.68
2017-05-27 22:00:00,1,18.5,764.3,2.5,60.0,10.5,103.68
2017-05-27 23:00:00,1,18.0,764.3,1.5,58.0,9.5,103.68
2017-05-28 00:00:00,1,16.5,764.65,1.5,63.5,9.5,110.16
2017-05-28 01:00:00,1,16.5,764.3,1.0,66.0,10.0,103.68
2017-05-28 02:00:00,1,16.0,764.3,1.0,65.5,9.5,103.68
2017-05-28 03:00:00,1,15.5,764.65,1.5,65.5,9.0,103.68
2017-05-28 04:00:00,1,15.5,765.0,2.0,63.5,8.5,110.16
2017-05-28 05:00:00,1,16.5,765.0,2.0,55.5,7.5,103.68
2017-05-28 06:00:00,1,16.5,765.0,2.0,56.0,7.5,103.68
2017-05-28 07:00:00,1,18.0,765.0,2.5,54.0,8.5,97.2
2017-05-28 08:00:00,1,20.5,765.0,4.0,44.5,8.0,97.2
2017-05-28 09:00:00,1,22.5,765.0,4.0,39.5,8.0,97.2
2017-05-28 10:00:00,1,24.5,765.0,3.0,33.0,7.0,97.2
2017-05-28 11:00:00,1,26.0,765.0,2.0,27.0,5.5,90.72
2017-05-28 12:00:00,1,27.0,765.0,3.0,24.0,5.0,97.2
2017-05-28 13:00:00,1,28.0,764.3,2.0,23.0,5.0,97.2
2017-05-28 14:00:00,1,28.5,763.9,3.0,23.5,5.5,97.2
2017-05-28 15:00:00,1,27.5,763.5,7.5,26.0,6.5,90.72
2017-05-28 16:00:00,1,27.5,763.9,5.0,27.0,7.0,97.2
2017-05-28 17:00:00,1,26.5,763.9,5.0,28.0,6.5,97.2
2017-05-28 18:00:00,1,25.5,763.9,4.0,31.0,7.0,97.2
2017-05-28 19:00:00,1,24.5,764.3,4.0,35.5,8.0,97.2
2017-05-28 20:00:00,1,22.5,764.3,2.5,45.5,10.0,97.2
2017-05-28 21:00:00,1,20.5,764.3,3.0,53.0,10.5,103.68
2017-05-28 22:00:00,1,20.0,764.65,2.0,56.0,11.0,103.68
2017-05-28 23:00:00,1,18.5,765.0,1.5,58.0,10.0,103.68
2017-05-29 00:00:00,1,17.5,764.3,2.0,57.5,9.0,110.16
2017-05-29 01:00:00,1,17.0,764.3,2.0,59.0,9.0,103.68
2017-05-29 02:00:00,1,16.5,763.9,2.5,59.5,8.5,103.68
2017-05-29 03:00:00,1,16.5,763.5,1.5,57.5,8.0,103.68
2017-05-29 04:00:00,1,15.0,763.5,1.0,63.0,8.0,103.68
2017-05-29 05:00:00,1,15.5,763.5,1.5,61.0,8.0,116.64
2017-05-29 06:00:00,1,17.0,763.5,1.5,57.5,8.5,116.64
2017-05-29 07:00:00,1,20.0,763.5,2.0,44.5,7.5,116.64
2017-05-29 08:00:00,1,23.5,763.5,2.0,33.5,6.5,129.6
2017-05-29 09:00:00,1,24.5,763.5,3.0,30.5,6.0,116.64
2017-05-29 10:00:00,1,25.0,763.5,3.0,30.0,6.0,123.12
2017-05-29 11:00:00,1,27.0,763.5,3.0,24.0,5.0,123.12
2017-05-29 12:00:00,1,26.0,763.5,3.0,30.0,7.0,116.64
2017-05-29 13:00:00,1,26.5,763.5,3.0,32.0,8.5,123.12
2017-05-29 14:00:00,1,26.5,763.5,4.0,30.0,7.5,116.64
2017-05-29 15:00:00,1,26.5,763.5,4.0,30.0,7.5,123.12
2017-05-29 16:00:00,1,26.0,763.5,4.0,32.0,8.0,116.64
2017-05-29 17:00:00,1,25.0,763.15,4.0,34.0,8.0,116.64
2017-05-29 18:00:00,1,25.0,762.8,3.5,33.0,7.5,103.68
2017-05-29 19:00:00,1,24.0,762.8,2.5,37.5,8.5,149.04
2017-05-29 20:00:00,1,22.5,762.8,1.5,45.5,10.0,187.92
2017-05-29 21:00:00,1,21.5,762.8,1.5,50.0,10.5,200.88
2017-05-29 22:00:00,1,19.5,762.8,1.5,56.0,10.5,1069.2
2017-05-29 23:00:00,1,18.5,762.8,2.5,54.0,9.0,1341.36
2017-05-30 00:00:00,1,18.5,762.8,2.0,52.5,8.5,660.96
2017-05-30 01:00:00,1,18.0,762.8,1.5,50.5,7.5,427.68
2017-05-30 02:00:00,1,17.0,762.8,1.0,50.5,6.5,492.48
2017-05-30 03:00:00,1,16.5,762.8,1.0,48.5,5.5,1049.76
2017-05-30 04:00:00,1,16.0,762.8,1.5,50.0,5.5,2229.12
2017-05-30 05:00:00,1,15.5,762.8,1.0,51.5,5.5,1386.72
2017-05-30 06:00:00,1,17.0,762.8,1.0,45.0,5.0,1639.44
2017-05-30 07:00:00,1,19.0,762.8,1.0,49.0,8.0,1490.4
2017-05-30 08:00:00,1,20.5,763.15,1.5,44.5,8.0,2268.0
2017-05-30 09:00:00,1,21.5,763.5,2.0,42.0,8.0,3453.84
2017-05-30 10:00:00,1,24.5,763.5,2.0,34.0,7.5,2391.12
2017-05-30 11:00:00,1,26.0,763.5,2.0,29.0,6.5,2812.32
2017-05-30 12:00:00,1,27.0,763.5,3.5,31.0,8.5,3052.08
2017-05-30 13:00:00,1,27.0,763.5,4.0,29.0,7.5,3188.16
2017-05-30 14:00:00,1,26.5,763.5,4.0,32.0,8.5,2974.32
2017-05-30 15:00:00,1,26.5,763.5,4.0,33.0,9.0,3486.24
2017-05-30 16:00:00,1,26.0,763.5,3.5,34.0,9.0,3414.96
2017-05-30 17:00:00,1,25.5,763.5,3.0,38.0,10.0,900.72
2017-05-30 18:00:00,1,25.0,763.5,3.0,34.0,8.0,1412.64
2017-05-30 19:00:00,1,24.0,764.3,2.5,37.5,8.5,1976.4
2017-05-30 20:00:00,1,22.5,764.3,2.0,41.0,8.5,2689.2
2017-05-30 21:00:00,1,21.0,764.3,1.5,50.0,10.0,2384.64
2017-05-30 22:00:00,1,18.5,764.65,1.5,58.0,10.0,3233.52
2017-05-30 23:00:00,1,18.0,765.0,2.0,60.0,10.0,2449.44
2017-05-31 00:00:00,1,17.0,765.0,2.5,64.0,10.0,2352.24
2017-05-31 01:00:00,1,17.0,765.0,2.0,61.5,9.5,3252.96
2017-05-31 02:00:00,1,16.5,765.0,2.0,63.5,9.5,1477.44
2017-05-31 03:00:00,1,16.0,765.0,2.0,63.0,9.0,2008.8
2017-05-31 04:00:00,1,15.0,765.0,2.0,65.5,8.5,3201.12
2017-05-31 05:00:00,1,15.0,765.0,2.5,63.0,8.0,1289.52
2017-05-31 06:00:00,1,17.0,765.8,2.0,59.5,9.0,1490.4
2017-05-31 07:00:00,1,19.5,765.8,2.0,64.5,12.5,3285.36
2017-05-31 08:00:00,1,21.5,765.8,2.5,57.0,12.5,3304.8
2017-05-31 09:00:00,1,23.5,765.8,2.0,44.0,10.5,3019.68
2017-05-31 10:00:00,1,24.0,765.8,3.0,37.5,8.5,2993.76
2017-05-31 11:00:00,1,25.5,766.6,3.0,32.0,7.5,3421.44
2017-05-31 12:00:00,1,26.5,765.8,3.0,33.0,9.0,3414.96
2017-05-31 13:00:00,1,26.5,765.8,4.5,32.0,8.5,3291.84
2017-05-31 14:00:00,1,26.5,765.8,5.0,34.0,9.5,3576.96
2017-05-31 15:00:00,1,26.5,765.8,5.0,34.5,9.5,2909.52
2017-05-31 16:00:00,1,26.5,765.4,4.5,33.0,9.0,2909.52
2017-05-31 17:00:00,1,26.0,765.4,4.5,33.0,8.5,1017.36
2017-05-31 18:00:00,1,26.0,765.0,4.0,32.0,8.0,1477.44
2017-05-31 19:00:00,1,24.5,765.4,3.0,39.0,9.5,2378.16
2017-05-31 20:00:00,1,23.0,765.8,1.5,44.0,10.0,2909.52
2017-05-31 21:00:00,1,21.5,765.8,1.0,48.5,10.0,2786.4
2017-05-31 22:00:00,1,20.5,765.8,1.0,51.5,10.0,2371.68
2017-05-31 23:00:00,1,19.0,765.8,1.0,50.5,8.5,2417.04
2017-06-01 00:00:00,1,,,,,,2391.12
2017-06-01 01:00:00,1,,,,,,2494.8
2017-06-01 02:00:00,1,,,,,,2818.8
2017-06-01 03:00:00,1,,,,,,2682.72
2017-06-01 04:00:00,1,,,,,,2093.04
2017-06-01 05:00:00,1,,,,,,745.2
2017-06-01 06:00:00,1,,,,,,1665.36
2017-06-01 07:00:00,1,,,,,,3525.12
2017-06-01 08:00:00,1,,,,,,3518.64
2017-06-01 09:00:00,1,,,,,,3350.16
2017-06-01 10:00:00,1,,,,,,3382.56
2017-06-01 11:00:00,1,,,,,,2870.64
2017-06-01 12:00:00,1,,,,,,3265.92
2017-06-01 13:00:00,1,,,,,,2527.2
2017-06-01 14:00:00,1,,,,,,3214.08
2017-06-01 15:00:00,1,,,,,,2844.72
2017-06-01 16:00:00,1,,,,,,2209.68
2017-06-01 17:00:00,1,,,,,,758.16
2017-06-01 18:00:00,1,,,,,,1548.72
2017-06-01 19:00:00,1,,,,,,3427.92
2017-06-01 20:00:00,1,,,,,,2287.44
2017-06-01 21:00:00,1,,,,,,3097.44
2017-06-01 22:00:00,1,,,,,,3460.32
2017-06-01 23:00:00,1,,,,,,2766.96
2017-06-02 00:00:00,1,,,,,,3414.96
2017-06-02 01:00:00,1,,,,,,2209.68
2017-06-02 02:00:00,1,,,,,,1185.84
2017-06-02 03:00:00,1,,,,,,1043.28
2017-06-02 04:00:00,1,,,,,,810.0
