	Month	Year	Demand/Usage
4	5	2017	410151.60000000015
6	6	2017	1066744.0800000012
7	7	2017	863628.4799999989
8	8	2017	1011489.1199999985
9	9	2017	906098.3999999991
10	10	2017	1092612.2399999984
11	11	2017	973477.4400000009
12	12	2017	869985.3600000012
0	1	2018	1150310.1600000006
1	2	2018	1107276.4800000004
2	3	2018	1125193.680000002
3	4	2018	1073592.929999998
5	5	2018	756400.5199999996
