	Date	Demand/Usage
174	2017-11-08	61592.4
175	2017-11-09	64301.04000000001
176	2017-11-10	20483.28
177	2017-11-11	4192.559999999998
178	2017-11-12	4574.880000000001
179	2017-11-13	54095.03999999999
180	2017-11-14	60762.96000000001
181	2017-11-15	61650.719999999994
182	2017-11-16	22427.28
183	2017-11-17	9920.879999999997
184	2017-11-18	3414.9599999999987
185	2017-11-19	7568.639999999999
186	2017-11-20	49222.08
187	2017-11-21	63549.36
188	2017-11-22	63115.20000000001
189	2017-11-23	13996.799999999992
190	2017-11-24	4341.6
191	2017-11-25	2540.16
192	2017-11-26	2455.92
193	2017-11-27	5857.919999999999
194	2017-11-28	53615.520000000004
195	2017-11-29	62441.28000000001
196	2017-11-30	56155.68
197	2017-12-01	17625.6
198	2017-12-02	3687.119999999998
199	2017-12-03	4464.72
200	2017-12-04	55695.600000000006
201	2017-12-05	61819.19999999999
202	2017-12-06	58274.640000000014
203	2017-12-07	16277.759999999998
204	2017-12-08	10076.4
205	2017-12-09	3466.7999999999984
206	2017-12-10	4529.52
207	2017-12-11	50381.99999999999
208	2017-12-12	52170.479999999996
209	2017-12-13	65622.96
210	2017-12-14	23963.039999999997
211	2017-12-15	14385.600000000006
212	2017-12-16	5099.76
213	2017-12-17	8942.4
214	2017-12-18	47342.88
215	2017-12-19	56900.87999999999
216	2017-12-20	65234.15999999998
217	2017-12-21	39411.35999999999
218	2017-12-22	11398.320000000002
219	2017-12-23	3401.999999999998
220	2017-12-24	2527.2
221	2017-12-25	2805.84
222	2017-12-26	25466.399999999994
223	2017-12-27	57697.92
224	2017-12-28	57970.08
225	2017-12-29	35899.2
226	2017-12-30	4497.119999999999
227	2017-12-31	2948.3999999999996
228	2018-01-01	3376.079999999999
229	2018-01-02	27695.52
230	2018-01-03	65130.479999999996
231	2018-01-04	51483.6
232	2018-01-05	12823.920000000002
233	2018-01-06	4432.32
234	2018-01-07	5313.5999999999985
235	2018-01-08	52202.880000000005
236	2018-01-09	66005.28000000001
237	2018-01-10	63912.24
238	2018-01-11	69847.92
239	2018-01-12	22822.560000000005
240	2018-01-13	3881.5199999999977
241	2018-01-14	9240.48
242	2018-01-15	55941.84
243	2018-01-16	65149.92
244	2018-01-17	60633.36
245	2018-01-18	62693.99999999999
246	2018-01-19	25252.559999999998
247	2018-01-20	4153.679999999998
248	2018-01-21	4432.32
249	2018-01-22	55877.04000000001
250	2018-01-23	64864.799999999996
251	2018-01-24	64015.92
252	2018-01-25	20282.4
253	2018-01-26	10679.039999999999
254	2018-01-27	3836.1599999999976
255	2018-01-28	4458.24
256	2018-01-29	59078.15999999999
257	2018-01-30	59719.68000000001
258	2018-01-31	71072.64
259	2018-02-01	69251.76
260	2018-02-02	21986.639999999996
261	2018-02-03	6045.8399999999965
262	2018-02-04	10458.72
263	2018-02-05	52714.79999999999
264	2018-02-06	64942.560000000005
265	2018-02-07	63316.079999999994
266	2018-02-08	66394.08
267	2018-02-09	23483.52
268	2018-02-10	3622.3199999999983
269	2018-02-11	4872.96
270	2018-02-12	49967.28
271	2018-02-13	64041.84
272	2018-02-14	55630.8
273	2018-02-15	48159.35999999998
274	2018-02-16	11359.440000000002
275	2018-02-17	4179.5999999999985
276	2018-02-18	5158.08
277	2018-02-19	58378.320000000014
278	2018-02-20	65350.79999999999
279	2018-02-21	65130.48
280	2018-02-22	71947.43999999999
281	2018-02-23	25213.680000000004
282	2018-02-24	4814.639999999998
283	2018-02-25	9324.720000000001
284	2018-02-26	54062.63999999999
285	2018-02-27	62531.99999999999
286	2018-02-28	64936.08000000001
287	2018-03-01	65091.600000000006
288	2018-03-02	22641.120000000003
289	2018-03-03	5682.96
290	2018-03-04	5929.2
291	2018-03-05	55267.91999999999
292	2018-03-06	61333.2
293	2018-03-07	59927.04
294	2018-03-08	64618.56
295	2018-03-09	25272.000000000004
296	2018-03-10	4127.7599999999975
297	2018-03-11	5546.88
298	2018-03-12	54509.76
299	2018-03-13	67314.24
300	2018-03-14	63704.88
301	2018-03-15	68214.96
302	2018-03-16	21908.88000000001
303	2018-03-17	3661.199999999998
304	2018-03-18	5546.880000000001
305	2018-03-19	52157.52
306	2018-03-20	69141.59999999999
307	2018-03-21	69336.0
308	2018-03-22	24416.639999999996
309	2018-03-23	11871.359999999997
310	2018-03-24	3784.3199999999974
311	2018-03-25	5475.6
312	2018-03-26	57931.200000000004
313	2018-03-27	70502.40000000001
314	2018-03-28	71597.52
315	2018-03-29	25110.0
316	2018-03-30	2481.84
317	2018-03-31	1088.64
318	2018-04-01	8730.1
319	2018-04-02	58786.56
320	2018-04-03	70709.76000000001
321	2018-04-04	68947.2
322	2018-04-05	66977.28
323	2018-04-06	21623.76
324	2018-04-07	6279.119999999999
325	2018-04-08	5501.52
326	2018-04-09	56084.4
327	2018-04-10	68163.12000000001
328	2018-04-11	63594.720000000016
329	2018-04-12	24287.04
330	2018-04-13	12305.52
331	2018-04-14	2579.039999999999
332	2018-04-15	4983.12
333	2018-04-16	46889.28
334	2018-04-17	65156.40000000001
335	2018-04-18	66335.76
336	2018-04-19	67003.2
337	2018-04-20	27676.08
338	2018-04-21	4108.319999999998
339	2018-04-22	4892.400000000001
340	2018-04-23	35361.35999999999
341	2018-04-24	42152.40000000001
342	2018-04-25	43491.71000000001
343	2018-04-26	41802.48000000001
344	2018-04-27	41536.8
345	2018-04-28	13329.360000000002
346	2018-04-29	3486.2400000000002
347	2018-04-30	30818.880000000005
348	2018-05-01	38601.36
349	2018-05-02	41050.8
350	2018-05-03	43383.600000000006
351	2018-05-04	36339.840000000004
352	2018-05-05	9726.48
353	2018-05-06	8728.56
354	2018-05-07	52643.520000000004
355	2018-05-08	61747.92
356	2018-05-09	61167.799999999996
357	2018-05-10	65694.24
358	2018-05-11	63426.240000000005
359	2018-05-12	16964.640000000007
360	2018-05-13	4224.96
361	2018-05-14	46643.04
362	2018-05-15	61287.84000000001
363	2018-05-16	63581.760000000024
364	2018-05-17	63218.87999999999
365	2018-05-18	17969.04
