Date,Price
2017-05-18,46.40023374999999
2017-05-19,39.869611666666664
2017-05-20,37.20998708333334
2017-05-21,29.744220833333333
2017-05-22,44.42597708333334
2017-05-23,45.18945125000001
2017-05-24,45.26743583333333
2017-05-25,46.82367124999999
2017-05-26,44.15781666666667
2017-05-27,39.44700166666666
2017-05-28,32.589515
2017-05-29,41.89928375
2017-05-30,49.34042416666666
2017-05-31,48.29231458333334
2017-06-01,50.19794458333334
2017-06-02,41.67893458333333
2017-06-03,45.88355416666666
2017-06-04,37.3591075
2017-06-05,51.752602499999995
2017-06-06,49.39400833333334
2017-06-07,44.73430208333334
2017-06-08,43.27565500000001
2017-06-09,46.22554958333334
2017-06-10,42.33058541666667
2017-06-11,42.229137916666666
2017-06-12,50.39540791666667
2017-06-13,49.02177916666667
2017-06-14,55.41704333333334
2017-06-15,54.48612666666667
2017-06-16,55.44891583333333
2017-06-17,48.31797874999999
2017-06-18,35.77390125
2017-06-19,49.30760375
2017-06-20,56.83412124999999
2017-06-21,59.31133333333333
2017-06-22,59.59368666666666
2017-06-23,61.39288333333332
2017-06-24,48.82833375000001
2017-06-25,43.64832625
2017-06-26,51.66879583333334
2017-06-27,49.614505
2017-06-28,48.02141875
2017-06-29,46.471213750000004
2017-06-30,47.28607916666667
2017-07-01,46.684302916666674
2017-07-02,37.19070541666667
2017-07-03,41.79376166666667
2017-07-04,46.596471666666666
2017-07-05,49.42010458333334
2017-07-06,49.45414708333334
2017-07-07,51.47438291666666
2017-07-08,51.05844958333333
2017-07-09,45.54661625
2017-07-10,52.00111958333333
2017-07-11,55.705252083333335
2017-07-12,63.57716416666667
2017-07-13,58.32114416666666
2017-07-14,56.71989291666667
2017-07-15,44.83398458333334
2017-07-16,37.293555833333336
2017-07-17,49.0610325
2017-07-18,52.47181624999999
2017-07-19,56.618529166666654
2017-07-20,56.567349166666666
2017-07-21,57.530310833333324
2017-07-22,44.716186666666665
2017-07-23,42.42885333333333
2017-07-24,50.684990416666665
2017-07-25,46.68024125
2017-07-26,50.68078708333332
2017-07-27,53.675824166666665
2017-07-28,50.85224208333333
2017-07-29,50.05581125
2017-07-30,44.515567499999996
2017-07-31,65.47282291666666
2017-08-01,63.79059499999999
2017-08-02,77.47482166666666
2017-08-03,104.72586166666666
2017-08-04,94.70026000000001
2017-08-05,55.078932083333335
2017-08-06,46.836063749999994
2017-08-07,51.87508625
2017-08-08,51.78275458333334
2017-08-09,61.43315041666667
2017-08-10,50.573852499999994
2017-08-11,44.38807125000002
2017-08-12,48.96777333333332
2017-08-13,39.97034541666667
2017-08-14,43.535222499999996
2017-08-15,41.90176291666667
2017-08-16,51.80153875
2017-08-17,50.43290375
2017-08-18,49.640049583333344
2017-08-19,47.52157750000001
2017-08-20,41.88837208333334
2017-08-21,48.589446250000016
2017-08-22,51.38572041666668
2017-08-23,51.030097083333324
2017-08-24,51.03860625000001
2017-08-25,53.767840416666665
2017-08-26,51.947300000000006
2017-08-27,46.65751166666667
2017-08-28,72.92207458333333
2017-08-29,60.41678666666667
2017-08-30,65.99108875
