DateTime,Location,Commodity Name,Demand/Usage,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2017-05-21 00:00:00,Meter 1 Electricity,Electricity Usage (kWh),301.8,,,,
2017-05-21 01:00:00,Meter 1 Electricity,Electricity Usage (kWh),277.8,,,,
2017-05-21 02:00:00,Meter 1 Electricity,Electricity Usage (kWh),279.0,,,,
2017-05-21 03:00:00,Meter 1 Electricity,Electricity Usage (kWh),279.0,,,,
2017-05-21 04:00:00,Meter 1 Electricity,Electricity Usage (kWh),279.0,,,,
2017-05-21 05:00:00,Meter 1 Electricity,Electricity Usage (kWh),277.8,,,,
2017-05-21 06:00:00,Meter 1 Electricity,Electricity Usage (kWh),276.6,,,,
2017-05-21 07:00:00,Meter 1 Electricity,Electricity Usage (kWh),273.6,,,,
2017-05-21 08:00:00,Meter 1 Electricity,Electricity Usage (kWh),274.8,,,,
2017-05-21 09:00:00,Meter 1 Electricity,Electricity Usage (kWh),282.0,,,,
2017-05-21 10:00:00,Meter 1 Electricity,Electricity Usage (kWh),302.4,,,,
2017-05-21 11:00:00,Meter 1 Electricity,Electricity Usage (kWh),348.0,,,,
2017-05-21 12:00:00,Meter 1 Electricity,Electricity Usage (kWh),355.2,,,,
2017-05-21 13:00:00,Meter 1 Electricity,Electricity Usage (kWh),377.4,,,,
2017-05-21 14:00:00,Meter 1 Electricity,Electricity Usage (kWh),385.2,,,,
2017-05-21 15:00:00,Meter 1 Electricity,Electricity Usage (kWh),386.4,,,,
2017-05-21 16:00:00,Meter 1 Electricity,Electricity Usage (kWh),390.0,,,,
2017-05-21 17:00:00,Meter 1 Electricity,Electricity Usage (kWh),375.0,,,,
2017-05-21 18:00:00,Meter 1 Electricity,Electricity Usage (kWh),389.4,,,,
2017-05-21 19:00:00,Meter 1 Electricity,Electricity Usage (kWh),374.4,,,,
2017-05-21 20:00:00,Meter 1 Electricity,Electricity Usage (kWh),382.2,,,,
2017-05-21 21:00:00,Meter 1 Electricity,Electricity Usage (kWh),376.2,,,,
2017-05-21 22:00:00,Meter 1 Electricity,Electricity Usage (kWh),343.2,,,,
2017-05-21 23:00:00,Meter 1 Electricity,Electricity Usage (kWh),316.8,,,,
2017-05-22 00:00:00,Meter 1 Electricity,Electricity Usage (kWh),301.2,,,,
2017-05-22 01:00:00,Meter 1 Electricity,Electricity Usage (kWh),291.6,,,,
2017-05-22 02:00:00,Meter 1 Electricity,Electricity Usage (kWh),285.6,,,,
2017-05-22 03:00:00,Meter 1 Electricity,Electricity Usage (kWh),285.0,,,,
2017-05-22 04:00:00,Meter 1 Electricity,Electricity Usage (kWh),283.8,,,,
2017-05-22 05:00:00,Meter 1 Electricity,Electricity Usage (kWh),290.4,,,,
2017-05-22 06:00:00,Meter 1 Electricity,Electricity Usage (kWh),379.8,,,,
2017-05-22 07:00:00,Meter 1 Electricity,Electricity Usage (kWh),449.4,,,,
2017-05-22 08:00:00,Meter 1 Electricity,Electricity Usage (kWh),522.0,,,,
2017-05-22 09:00:00,Meter 1 Electricity,Electricity Usage (kWh),630.6,,,,
2017-05-22 10:00:00,Meter 1 Electricity,Electricity Usage (kWh),685.8,,,,
2017-05-22 11:00:00,Meter 1 Electricity,Electricity Usage (kWh),712.8,,,,
2017-05-22 12:00:00,Meter 1 Electricity,Electricity Usage (kWh),723.0,,,,
2017-05-22 13:00:00,Meter 1 Electricity,Electricity Usage (kWh),757.8,,,,
2017-05-22 14:00:00,Meter 1 Electricity,Electricity Usage (kWh),749.4,,,,
2017-05-22 15:00:00,Meter 1 Electricity,Electricity Usage (kWh),736.8,,,,
2017-05-22 16:00:00,Meter 1 Electricity,Electricity Usage (kWh),743.4,,,,
2017-05-22 17:00:00,Meter 1 Electricity,Electricity Usage (kWh),716.4,,,,
2017-05-22 18:00:00,Meter 1 Electricity,Electricity Usage (kWh),680.4,,,,
2017-05-22 19:00:00,Meter 1 Electricity,Electricity Usage (kWh),493.8,,,,
2017-05-22 20:00:00,Meter 1 Electricity,Electricity Usage (kWh),464.4,,,,
2017-05-22 21:00:00,Meter 1 Electricity,Electricity Usage (kWh),444.6,,,,
2017-05-22 22:00:00,Meter 1 Electricity,Electricity Usage (kWh),413.4,,,,
2017-05-22 23:00:00,Meter 1 Electricity,Electricity Usage (kWh),358.2,,,,
2017-05-23 00:00:00,Meter 1 Electricity,Electricity Usage (kWh),327.0,,,,
2017-05-23 01:00:00,Meter 1 Electricity,Electricity Usage (kWh),295.8,,,,
2017-05-23 02:00:00,Meter 1 Electricity,Electricity Usage (kWh),283.2,,,,
2017-05-23 03:00:00,Meter 1 Electricity,Electricity Usage (kWh),276.6,,,,
2017-05-23 04:00:00,Meter 1 Electricity,Electricity Usage (kWh),282.0,,,,
2017-05-23 05:00:00,Meter 1 Electricity,Electricity Usage (kWh),283.8,,,,
2017-05-23 06:00:00,Meter 1 Electricity,Electricity Usage (kWh),353.4,,,,
2017-05-23 07:00:00,Meter 1 Electricity,Electricity Usage (kWh),453.0,,,,
2017-05-23 08:00:00,Meter 1 Electricity,Electricity Usage (kWh),514.8,,,,
2017-05-23 09:00:00,Meter 1 Electricity,Electricity Usage (kWh),608.4,,,,
2017-05-23 10:00:00,Meter 1 Electricity,Electricity Usage (kWh),658.8,,,,
2017-05-23 11:00:00,Meter 1 Electricity,Electricity Usage (kWh),689.4,,,,
2017-05-23 12:00:00,Meter 1 Electricity,Electricity Usage (kWh),718.8,,,,
2017-05-23 13:00:00,Meter 1 Electricity,Electricity Usage (kWh),744.0,,,,
2017-05-23 14:00:00,Meter 1 Electricity,Electricity Usage (kWh),745.8,,,,
2017-05-23 15:00:00,Meter 1 Electricity,Electricity Usage (kWh),740.4,,,,
2017-05-23 16:00:00,Meter 1 Electricity,Electricity Usage (kWh),722.4,,,,
2017-05-23 17:00:00,Meter 1 Electricity,Electricity Usage (kWh),718.8,,,,
2017-05-23 18:00:00,Meter 1 Electricity,Electricity Usage (kWh),688.2,,,,
2017-05-23 19:00:00,Meter 1 Electricity,Electricity Usage (kWh),548.4,,,,
2017-05-23 20:00:00,Meter 1 Electricity,Electricity Usage (kWh),480.0,,,,
2017-05-23 21:00:00,Meter 1 Electricity,Electricity Usage (kWh),444.0,,,,
2017-05-23 22:00:00,Meter 1 Electricity,Electricity Usage (kWh),417.6,,,,
2017-05-23 23:00:00,Meter 1 Electricity,Electricity Usage (kWh),348.6,,,,
2017-05-24 00:00:00,Meter 1 Electricity,Electricity Usage (kWh),326.4,,,,
2017-05-24 01:00:00,Meter 1 Electricity,Electricity Usage (kWh),302.4,,,,
2017-05-24 02:00:00,Meter 1 Electricity,Electricity Usage (kWh),287.4,,,,
2017-05-24 03:00:00,Meter 1 Electricity,Electricity Usage (kWh),280.2,,,,
2017-05-24 04:00:00,Meter 1 Electricity,Electricity Usage (kWh),282.6,,,,
2017-05-24 05:00:00,Meter 1 Electricity,Electricity Usage (kWh),300.0,,,,
2017-05-24 06:00:00,Meter 1 Electricity,Electricity Usage (kWh),385.8,,,,
2017-05-24 07:00:00,Meter 1 Electricity,Electricity Usage (kWh),460.2,,,,
2017-05-24 08:00:00,Meter 1 Electricity,Electricity Usage (kWh),509.4,,,,
2017-05-24 09:00:00,Meter 1 Electricity,Electricity Usage (kWh),601.2,,,,
2017-05-24 10:00:00,Meter 1 Electricity,Electricity Usage (kWh),658.8,,,,
2017-05-24 11:00:00,Meter 1 Electricity,Electricity Usage (kWh),690.0,,,,
2017-05-24 12:00:00,Meter 1 Electricity,Electricity Usage (kWh),714.0,,,,
2017-05-24 13:00:00,Meter 1 Electricity,Electricity Usage (kWh),726.6,,,,
2017-05-24 14:00:00,Meter 1 Electricity,Electricity Usage (kWh),738.6,,,,
2017-05-24 15:00:00,Meter 1 Electricity,Electricity Usage (kWh),720.6,,,,
2017-05-24 16:00:00,Meter 1 Electricity,Electricity Usage (kWh),706.8,,,,
2017-05-24 17:00:00,Meter 1 Electricity,Electricity Usage (kWh),716.4,,,,
2017-05-24 18:00:00,Meter 1 Electricity,Electricity Usage (kWh),670.8,,,,
2017-05-24 19:00:00,Meter 1 Electricity,Electricity Usage (kWh),555.0,,,,
2017-05-24 20:00:00,Meter 1 Electricity,Electricity Usage (kWh),466.8,,,,
2017-05-24 21:00:00,Meter 1 Electricity,Electricity Usage (kWh),451.2,,,,
2017-05-24 22:00:00,Meter 1 Electricity,Electricity Usage (kWh),415.2,,,,
2017-05-24 23:00:00,Meter 1 Electricity,Electricity Usage (kWh),358.8,,,,
2017-05-25 00:00:00,Meter 1 Electricity,Electricity Usage (kWh),327.0,,,,
2017-05-25 01:00:00,Meter 1 Electricity,Electricity Usage (kWh),297.6,,,,
2017-05-25 02:00:00,Meter 1 Electricity,Electricity Usage (kWh),280.2,,,,
2017-05-25 03:00:00,Meter 1 Electricity,Electricity Usage (kWh),280.8,,,,
2017-05-25 04:00:00,Meter 1 Electricity,Electricity Usage (kWh),284.1,,,,
2017-05-25 05:00:00,Meter 1 Electricity,Electricity Usage (kWh),290.21,,,,
2017-05-25 06:00:00,Meter 1 Electricity,Electricity Usage (kWh),379.2,,,,
2017-05-25 07:00:00,Meter 1 Electricity,Electricity Usage (kWh),453.0,,,,
2017-05-25 08:00:00,Meter 1 Electricity,Electricity Usage (kWh),513.6,,,,
2017-05-25 09:00:00,Meter 1 Electricity,Electricity Usage (kWh),602.4,,,,
2017-05-25 10:00:00,Meter 1 Electricity,Electricity Usage (kWh),682.2,,,,
2017-05-25 11:00:00,Meter 1 Electricity,Electricity Usage (kWh),702.0,,,,
2017-05-25 12:00:00,Meter 1 Electricity,Electricity Usage (kWh),723.6,,,,
2017-05-25 13:00:00,Meter 1 Electricity,Electricity Usage (kWh),744.6,,,,
2017-05-25 14:00:00,Meter 1 Electricity,Electricity Usage (kWh),745.8,,,,
2017-05-25 15:00:00,Meter 1 Electricity,Electricity Usage (kWh),732.6,,,,
2017-05-25 16:00:00,Meter 1 Electricity,Electricity Usage (kWh),724.2,,,,
2017-05-25 17:00:00,Meter 1 Electricity,Electricity Usage (kWh),718.2,,,,
2017-05-25 18:00:00,Meter 1 Electricity,Electricity Usage (kWh),675.6,,,,
2017-05-25 19:00:00,Meter 1 Electricity,Electricity Usage (kWh),501.6,,,,
2017-05-25 20:00:00,Meter 1 Electricity,Electricity Usage (kWh),456.6,,,,
2017-05-25 21:00:00,Meter 1 Electricity,Electricity Usage (kWh),441.6,,,,
2017-05-25 22:00:00,Meter 1 Electricity,Electricity Usage (kWh),412.2,,,,
2017-05-25 23:00:00,Meter 1 Electricity,Electricity Usage (kWh),353.4,,,,
2017-05-26 00:00:00,Meter 1 Electricity,Electricity Usage (kWh),323.4,,,,
2017-05-26 01:00:00,Meter 1 Electricity,Electricity Usage (kWh),292.8,,,,
2017-05-26 02:00:00,Meter 1 Electricity,Electricity Usage (kWh),283.8,,,,
2017-05-26 03:00:00,Meter 1 Electricity,Electricity Usage (kWh),280.2,,,,
2017-05-26 04:00:00,Meter 1 Electricity,Electricity Usage (kWh),280.2,,,,
2017-05-26 05:00:00,Meter 1 Electricity,Electricity Usage (kWh),287.4,,,,
2017-05-26 06:00:00,Meter 1 Electricity,Electricity Usage (kWh),377.4,,,,
2017-05-26 07:00:00,Meter 1 Electricity,Electricity Usage (kWh),464.4,,,,
2017-05-26 08:00:00,Meter 1 Electricity,Electricity Usage (kWh),512.4,,,,
2017-05-26 09:00:00,Meter 1 Electricity,Electricity Usage (kWh),597.6,,,,
2017-05-26 10:00:00,Meter 1 Electricity,Electricity Usage (kWh),676.8,,,,
2017-05-26 11:00:00,Meter 1 Electricity,Electricity Usage (kWh),686.4,,,,
2017-05-26 12:00:00,Meter 1 Electricity,Electricity Usage (kWh),709.8,,,,
2017-05-26 13:00:00,Meter 1 Electricity,Electricity Usage (kWh),726.0,,,,
2017-05-26 14:00:00,Meter 1 Electricity,Electricity Usage (kWh),728.4,,,,
2017-05-26 15:00:00,Meter 1 Electricity,Electricity Usage (kWh),717.0,,,,
2017-05-26 16:00:00,Meter 1 Electricity,Electricity Usage (kWh),678.6,,,,
2017-05-26 17:00:00,Meter 1 Electricity,Electricity Usage (kWh),688.2,,,,
2017-05-26 18:00:00,Meter 1 Electricity,Electricity Usage (kWh),673.2,,,,
2017-05-26 19:00:00,Meter 1 Electricity,Electricity Usage (kWh),531.0,,,,
2017-05-26 20:00:00,Meter 1 Electricity,Electricity Usage (kWh),515.4,,,,
2017-05-26 21:00:00,Meter 1 Electricity,Electricity Usage (kWh),463.2,,,,
2017-05-26 22:00:00,Meter 1 Electricity,Electricity Usage (kWh),421.8,,,,
2017-05-26 23:00:00,Meter 1 Electricity,Electricity Usage (kWh),361.2,,,,
2017-05-27 00:00:00,Meter 1 Electricity,Electricity Usage (kWh),319.8,,,,
2017-05-27 01:00:00,Meter 1 Electricity,Electricity Usage (kWh),291.6,,,,
2017-05-27 02:00:00,Meter 1 Electricity,Electricity Usage (kWh),279.6,,,,
2017-05-27 03:00:00,Meter 1 Electricity,Electricity Usage (kWh),273.6,,,,
2017-05-27 04:00:00,Meter 1 Electricity,Electricity Usage (kWh),276.0,,,,
2017-05-27 05:00:00,Meter 1 Electricity,Electricity Usage (kWh),277.2,,,,
2017-05-27 06:00:00,Meter 1 Electricity,Electricity Usage (kWh),279.6,,,,
2017-05-27 07:00:00,Meter 1 Electricity,Electricity Usage (kWh),276.6,,,,
2017-05-27 08:00:00,Meter 1 Electricity,Electricity Usage (kWh),294.0,,,,
2017-05-27 09:00:00,Meter 1 Electricity,Electricity Usage (kWh),415.2,,,,
2017-05-27 10:00:00,Meter 1 Electricity,Electricity Usage (kWh),491.4,,,,
2017-05-27 11:00:00,Meter 1 Electricity,Electricity Usage (kWh),526.2,,,,
2017-05-27 12:00:00,Meter 1 Electricity,Electricity Usage (kWh),541.8,,,,
2017-05-27 13:00:00,Meter 1 Electricity,Electricity Usage (kWh),553.2,,,,
2017-05-27 14:00:00,Meter 1 Electricity,Electricity Usage (kWh),414.6,,,,
2017-05-27 15:00:00,Meter 1 Electricity,Electricity Usage (kWh),405.6,,,,
2017-05-27 16:00:00,Meter 1 Electricity,Electricity Usage (kWh),391.2,,,,
2017-05-27 17:00:00,Meter 1 Electricity,Electricity Usage (kWh),386.4,,,,
2017-05-27 18:00:00,Meter 1 Electricity,Electricity Usage (kWh),383.4,,,,
2017-05-27 19:00:00,Meter 1 Electricity,Electricity Usage (kWh),370.8,,,,
2017-05-27 20:00:00,Meter 1 Electricity,Electricity Usage (kWh),387.6,,,,
2017-05-27 21:00:00,Meter 1 Electricity,Electricity Usage (kWh),390.0,,,,
2017-05-27 22:00:00,Meter 1 Electricity,Electricity Usage (kWh),373.2,,,,
2017-05-27 23:00:00,Meter 1 Electricity,Electricity Usage (kWh),324.0,,,,
2017-05-28 00:00:00,Meter 1 Electricity,Electricity Usage (kWh),307.8,,,,
2017-05-28 01:00:00,Meter 1 Electricity,Electricity Usage (kWh),290.4,,,,
2017-05-28 02:00:00,Meter 1 Electricity,Electricity Usage (kWh),291.6,,,,
2017-05-28 03:00:00,Meter 1 Electricity,Electricity Usage (kWh),288.6,,,,
2017-05-28 04:00:00,Meter 1 Electricity,Electricity Usage (kWh),285.6,,,,
2017-05-28 05:00:00,Meter 1 Electricity,Electricity Usage (kWh),284.4,,,,
2017-05-28 06:00:00,Meter 1 Electricity,Electricity Usage (kWh),279.0,,,,
2017-05-28 07:00:00,Meter 1 Electricity,Electricity Usage (kWh),278.4,,,,
2017-05-28 08:00:00,Meter 1 Electricity,Electricity Usage (kWh),274.8,,,,
